CustomerKey,FirstName,MiddleName,LastName,Gender,HouseOwnerFlag
11074,Levi,A,Arun,M,1
11075,Felicia,L,Jimenez,F,1
11076,Blake,,Anderson,M,1
11077,Leah,,Ye,F,0
11078,Gina,E,Martin,F,0
11079,Donald,,Gonzalez,M,1
11080,Damien,,Chander,M,1
11081,Savannah,C,Baker,F,1
11082,Angela,L,Butler,F,0
11083,Alyssa,F,Cox,F,1
11084,Lucas,,Phillips,M,0
11085,Emily,,Johnson,F,0
11086,Ryan,,Brown,M,1
11087,Tamara,L,Liang,F,0
11088,Hunter,,Davis,M,1
11089,Abigail,M,Price,F,1
11090,Trevor,,Bryant,M,1
11091,Dalton,,Perez,M,1
11092,Cheryl,A,Diaz,F,1
11093,Aimee,A,He,F,1
11094,Cedric,W,Ma,M,0
11095,Chad,,Kumar,M,1
11096,Andrés,,Anand,M,1
11097,Edwin,R,Nara,M,1
11098,Mallory,S,Rubio,F,0
11099,Adam,,Ross,M,1
11100,Latasha,L,Navarro,F,1
11101,Abby,L,Sai,F,0
11102,Julia,L,Nelson,F,1
11103,Cassie,,Chande,F,1
11104,Edgar,A,Sara,M,0
11105,Candace,,Fernandez,F,0
11106,Jessie,,Liu,M,0
11107,Bianca,,Lin,F,1
11108,Kari,C,Alvarez,F,0
11109,Ruben,D,Kapoor,M,0
11110,Curtis,,Yang,M,1
11111,Meredith,T,Gutierrez,F,1
11112,Crystal,C,Wang,F,1
11113,Micheal,A,Blanco,M,1
11114,Leslie,C,Moreno,F,1
11115,Alvin,D,Cai,M,1
11116,Clinton,E,Carlson,M,1
11117,April,,Deng,F,1
11118,Alvin,M,Zeng,M,0
11119,Evan,V,James,M,0
11120,Beth,H,Jiménez,F,1
11121,Orlando,,Suarez,M,1
11122,Byron,,Vazquez,M,1
11123,Philip,A,Alvarez,M,1
11124,Ross,F,Jordan,M,1
11125,Dana,J,Navarro,F,1
11126,Shaun,,Carson,M,0
11127,Jan,,Edwards,F,1
11128,Samantha,,Long,F,1
11129,Julia,M,Wright,F,1
11130,Caroline,L,Russell,F,1
11131,Amanda,,Rivera,F,0
11132,Melissa,E,Richardson,F,0
11133,Angela,,Griffin,F,0
11134,Larry,D,Townsend,M,1
11135,Marcus,L,Harris,M,0
11136,Brianna,D,Morgan,F,0
11137,Jasmine,A,Taylor,F,1
11138,Lauren,,Davis,F,0
11139,Tanya,,Moreno,F,0
11140,Javier,L,Alvarez,M,0
11141,Nicole,,Ramirez,F,0
11142,Eduardo,,Patterson,M,0
11143,Jonathan,M,Henderson,M,1
11144,Edward,,Hernandez,M,0
11145,Jasmine,L,Coleman,F,0
11146,Karla,L,Goel,F,1
11147,Ernest,L,Wu,M,1
11148,Ross,,Vazquez,M,1
11149,Theodore,,Gill,M,1
11150,Russell,M,Shen,M,1
11151,Melinda,G,Gill,F,0
11152,James,J,Williams,M,1
11153,Angela,R,James,F,1
11154,Megan,G,Walker,F,1
11155,Hunter,J,Robinson,M,0
11156,Maria,,Roberts,F,0
11157,Hannah,E,Long,F,1
11158,Jason,K,Wright,M,1
11159,Brianna,A,Hughes,F,0
11160,Maurice,M,Tang,M,0
11161,Emily,,Wood,F,0
11162,Chase,,Cox,M,1
11163,Gabriel,,Wang,M,1
11164,Devin,,Brooks,M,0
11165,Jocelyn,,Alexander,F,0
11166,Ashley,,Martinez,F,0
11167,Jasmine,J,Barnes,F,0
11168,David,,Rodriguez,M,0
11169,Bryce,,Richardson,M,1
11170,Carol,T,Howard,F,1
11171,Jonathan,E,Hill,M,1
11172,Gabrielle,J,Adams,F,1
11173,Sarah,F,Thomas,F,0
11174,Nicholas,,Robinson,M,1
11175,Luis,,Wang,M,1
11176,Mason,D,Roberts,M,1
11177,Jose,M,Flores,M,1
11178,Nathan,J,Johnson,M,1
11179,Molly,E,Rodriguez,F,1
11180,April,,Anand,F,1
11181,Devin,P,Martin,M,1
11182,Stephanie,,Torres,F,1
11183,Jasmine,W,Lee,F,1
11184,Meghan,,Hernandez,F,1
11185,Ashley,,Henderson,F,1
11186,Sarah,C,Price,F,1
11187,Jennifer,S,Cooper,F,1
11188,Catherine,,Morris,F,0
11189,Lawrence,W,Blanco,M,1
11190,Carson,,Bryant,M,1
11191,Kristi,E,Perez,F,1
11192,James,C,Brown,M,1
11193,Ian,A,Gray,M,1
11194,Jacqueline,R,Price,F,1
11195,Megan,,Henderson,F,1
11196,Alfredo,,Romero,M,1
11197,Andrea,,Morris,F,0
11198,Brooke,,Sanders,F,1
11199,Jacqueline,,Bennett,F,1
11200,Jason,L,Griffin,M,1
11201,Amanda,,Foster,F,1
11202,Alexia,L,Price,F,0
11203,Luis,D,Diaz,M,1
11204,Destiny,C,Rivera,F,1
11205,Abby,,Fernandez,F,1
11206,Blake,,Flores,M,1
11207,Danielle,,Cox,F,1
11208,Maria,,Reed,F,1
11209,Allison,,Evans,F,1
11210,Edward,J,Wood,M,1
11211,Samantha,,Russell,F,1
11212,Chloe,,Campbell,F,1
11213,Stephanie,B,Murphy,F,1
11214,Charles,O,Miller,M,1
11215,Ana,,Perry,F,1
11216,Jasmine,A,Torres,F,1
11217,Natalie,P,Adams,F,1
11218,Olivia,,Brown,F,0
11219,Charles,,Cook,M,1
11220,Erica,C,Huang,F,1
11221,Nathan,,Perry,M,1
11222,Alexandra,,Rivera,F,1
11223,Hailey,I,Patterson,F,1
11224,Tiffany,J,Li,F,1
11225,Madison,D,Lee,F,1
11226,Sydney,T,Ross,F,1
11227,Marshall,D,Chavez,M,1
11228,Ashley,R,Jones,F,1
11229,Adrian,C,Stewart,M,1
11230,Amber,,Turner,F,0
11231,Dennis,,Zhang,M,1
11232,Hailey,R,Bryant,F,0
11233,Todd,,Li,M,1
11234,Anna,,Griffin,F,1
11235,Angel,J,Stewart,M,1
11236,Jeremy,,Butler,M,1
11237,Clarence,M,Anand,M,0
11238,Mayra,,Prasad,F,0
11239,Latoya,C,Goel,F,0
11240,Anne,B,Hernandez,F,1
11241,Lisa,,Cai,F,1
11242,Larry,,Munoz,M,1
11243,Robin,V,Alvarez,F,1
11244,Alexis,M,Coleman,F,0
11245,Ricky,D,Vazquez,M,0
11246,Latasha,,Rubio,F,0
11247,Claudia,M,Zhou,F,0
11248,Tristan,P,Alexander,M,1
11249,Cindy,A,Patel,F,1
11250,Shannon,D,Liu,F,1
11251,Xavier,,Long,M,0
11252,Nicholas,D,Thompson,M,1
11253,José,M,Hernandez,M,1
11254,Johnathan,W,Vance,M,1
11255,Colin,,Lin,M,1
11256,Katelyn,L,Hernandez,F,1
11257,Jacqueline,,Powell,F,1
11258,Xavier,,Hill,M,1
11259,Victoria,C,Stewart,F,1
11260,Katelyn,L,Kelly,F,1
11261,Stephanie,,Collins,F,1
11262,Jennifer,,Simmons,F,1
11263,Trinity,,Richardson,F,1
11264,Eduardo,,Martin,M,0
11265,Elizabeth,P,Jones,F,1
11266,Taylor,,Howard,F,0
11267,David,,Diaz,M,1
11268,Katelyn,A,Carter,F,1
11269,Ryan,W,Foster,M,1
11270,Robert,L,Lee,M,1
11271,Danielle,C,Reed,F,0
11272,Lauren,L,Martinez,F,1
11273,Nathan,E,Lal,M,1
11274,Kyle,M,Foster,M,1
11275,Jenny,D,Rai,F,1
11276,Nancy,E,Chapman,F,1
11277,Charles,P,Jackson,M,1
11278,Jonathan,,Phillips,M,0
11279,Amanda,S,Cook,F,1
11280,Robert,,Collins,M,1
11281,Megan,J,Barnes,F,1
11282,Christian,A,Thomas,M,1
11283,Arturo,,Lal,M,1
11284,Theresa,,Serrano,F,1
11285,Jeremy,J,Anderson,M,0
11286,Hunter,D,Griffin,M,1
11287,Henry,B,Garcia,M,0
11288,Cindy,K,Sanchez,F,1
11289,Maria,S,Carter,F,1
11290,Katelyn,,Sanchez,F,1
11291,Jenna,,Wright,F,1
11292,Seth,,Phillips,M,0
11293,Luke,S,Long,M,0
11294,Dalton,P,Clark,M,0
11295,Taylor,G,Lewis,F,1
11296,Haley,,Richardson,F,1
11297,Noah,,Coleman,M,1
11298,Jon,,Luo,M,1
11299,Orlando,E,Vazquez,M,1
11300,Fernando,,Barnes,M,0
11301,Cameron,L,Rodriguez,M,1
11302,Spencer,,Russell,M,0
11303,Julia,,Coleman,F,0
11304,Julia,B,Garcia,F,1
11305,Sean,A,Evans,M,0
11306,Micah,A,Zhou,M,0
11307,Hunter,P,Rodriguez,M,1
11308,Ian,T,Gonzales,M,0
11309,Victoria,,Lewis,F,1
11310,Erin,A,Sanders,F,1
11311,Gabrielle,D,Lopez,F,0
11312,Sara,,Richardson,F,1
11313,Trevor,,Jenkins,M,1
11314,Mya,,Flores,F,0
11315,Hailey,J,Ward,F,0
11316,Luke,,Allen,M,1
11317,Victoria,D,Russell,F,0
11318,Jessica,,Wilson,F,0
11319,Jade,E,Bailey,F,0
11320,Morgan,M,Hill,F,1
11321,Terrance,D,Raman,M,1
11322,Sydney,,Garcia,F,1
11323,Jose,,Patterson,M,1
11324,Zachary,,Anderson,M,1
11325,Elijah,E,Ross,M,1
11326,Rafael,M,Xie,M,1
11327,Jaime,C,Moreno,M,1
11328,Julian,M,Griffin,M,1
11329,Andy,,Alvarez,M,1
11330,Ryan,M,Thompson,M,1
11331,Samantha,,Jenkins,F,1
11332,Deanna,D,Ramos,F,1
11333,Emily,R,Miller,F,1
11334,Nicole,,Brown,F,1
11335,Carla,L,Raman,F,1
11336,Shaun,,Raji,M,1
11337,Jerome,,Romero,M,1
11338,Frank,F,Navarro,M,1
11339,Dennis,M,She,M,1
11340,Melody,C,Munoz,F,1
11341,Randy,A,Zeng,M,1
11342,Marshall,L,Wang,M,1
11343,Arthur,P,Carlson,M,1
11344,Jessie,,Jimenez,F,1
11345,Robin,,Ramos,F,1
11346,Deanna,E,Gutierrez,F,1
11347,Roy,T,Navarro,M,1
11348,Shawn,,Rai,M,1
11349,Mindy,J,Luo,F,1
11350,Cara,,Zhou,F,1
11351,Anne,R,Ramos,F,1
11352,Raymond,A,Rodriguez,M,1
11353,Carrie,L,Ortega,F,1
11354,Deanna,,Suarez,F,1
11355,Roberto,,Gutierrez,M,1
11356,Terrence,,Carson,M,0
11357,Ramon,,Ye,M,0
11358,Cynthia,,Malhotra,F,0
11359,Jarrod,,Prasad,M,0
11360,Tyrone,,Serrano,M,1
11361,Cindy,G,Ramos,F,1
11362,Damien,M,Shan,M,0
11363,Julian,,Ross,M,0
11364,Jennifer,,Collins,F,0
11365,Brittney,,Sun,F,0
11366,Virginia,R,Patel,F,1
11367,Calvin,J,Nara,M,1
11368,Edward,,Miller,M,0
11369,Ashlee,D,Tang,F,0
11370,Alicia,,Xu,F,1
11371,Lacey,C,Jai,F,1
11372,Wendy,H,Romero,F,1
11373,Carly,H,Luo,F,1
11374,Jimmy,M,Ortega,M,1
11375,Francisco,,Martinez,M,1
11376,Lance,,Vazquez,M,1
11377,David,R.,Robinett,M,1
11378,Shannon,,Liang,F,0
11379,Gary,,Vazquez,M,1
11380,Mitchell,L,Kumar,M,1
11381,Meredith,,Raman,F,1
11382,Edward,,Patterson,M,1
11383,Marie,,Gill,F,1
11384,Tiffany,E,Wang,F,1
11385,Miguel,C,Allen,M,1
11386,Jaclyn,,Cai,F,1
11387,Megan,C,Ramirez,F,1
11388,Joseph,,Martin,M,1
11389,Karl,J,Shan,M,0
11390,Christine,J,Raji,F,0
11391,Lindsay,T,Xie,F,1
11392,Willie,,Zhao,M,1
11393,Kurt,B,Pal,M,1
11394,George,,McDonald,M,1
11395,Beth,C,Gutierrez,F,1
11396,Ian,G,Lopez,M,0
11397,Latoya,R,Shan,F,0
11398,Colin,N,Nath,M,1
11399,Brenda,F,Mehta,F,1
11400,Franklin,,Raji,M,1
11401,Linda,,Navarro,F,1
11402,Kelli,R,Cai,F,1
11403,Nancy,,Schmidt,F,1
11404,Megan,E,Taylor,F,0
11405,Bonnie,,Goel,F,0
11406,Latoya,L,Xu,F,1
11407,Mario,,She,M,1
11408,Darren,M,Gill,M,0
11409,Jacqueline,H,Hayes,F,1
11410,Maurice,,Goel,M,1
11411,Devin,A,Ross,M,0
11412,Sydney,S,Bryant,F,1
11413,Megan,L,Stewart,F,0
11414,Ian,,Richardson,M,1
11415,Randy,H,She,M,0
11416,Katrina,,Becker,F,1
11417,Lacey,C,Zheng,F,1
11418,Rafael,J,Hu,M,0
11419,Kyle,D,Scott,M,1
11420,Jordan,C,Turner,M,1
11421,Amy,C,Sun,F,1
11422,Dustin,F,Deng,M,1
11423,Jasmine,,Stewart,F,0
11424,Pamela,S,Garcia,F,1
11425,Ariana,D,Gray,F,1
11426,Kristopher,,Mehta,M,1
11427,Desiree,S,Dominguez,F,1
11428,Deanna,,Perez,F,1
11429,Marco,,Lopez,M,1
11430,Casey,K,Yuan,F,1
11431,Bryant,,Garcia,M,1
11432,Dominique,L,Prasad,F,1
11433,Maurice,M,Shan,M,0
11434,Andre,,Lopez,M,1
11435,Robin,,Romero,F,1
11436,Taylor,,Cox,F,0
11437,Alfredo,,Moreno,M,1
11438,Jenny,,Nara,F,1
11439,Janet,,Munoz,F,0
11440,Sergio,C,Weber,M,0
11441,Erika,,Gomez,F,0
11442,Joseph,D,Harris,M,1
11443,Grace,,Griffin,F,0
11444,Tina,C,Mehta,F,1
11445,Kari,S,Kim,F,0
11446,Bethany,K,Chander,F,0
11447,Jennifer,,Roberts,F,1
11448,Kyle,,Patterson,M,1
11449,Alvin,E,Hu,M,1
11450,Brett,,Mehta,M,1
11451,Ruben,L,Muñoz,M,0
11452,Erika,A,Rubio,F,0
11453,Stanley,H,Malhotra,M,0
11454,Melinda,,Navarro,F,0
11455,Ross,,Sanz,M,1
11456,Jon,C,Gao,M,1
11457,Jaime,C,Gutierrez,F,1
11458,Bianca,K,Liu,F,1
11459,Tasha,,Deng,F,0
11460,Melvin,R,Chande,M,0
11461,Victor,,Jimenez,M,0
11462,Laura,L,Lin,F,1
11463,Alisha,E,Beck,F,0
11464,Alejandro,,Huang,M,1
11465,Louis,,Luo,M,0
11466,Grant,H,Tang,M,1
11467,Arturo,C,Zheng,M,1
11468,Jaclyn,,Andersen,F,1
11469,Edwin,,Raji,M,0
11470,Jay,C,Suarez,M,0
11471,Latasha,,Suarez,F,1
11472,Kenneth,,Kumar,M,1
11473,Grace,M,Henderson,F,0
11474,Melvin,A,Xu,M,1
11475,Cesar,L,Subram,M,0
11476,Erika,K,Navarro,F,1
11477,Tristan,,Hughes,M,0
11478,Billy,C,Hernandez,M,0
11479,Darryl,L,Wu,M,1
11480,Colleen,A,Ma,F,1
11481,Erica,,Hu,F,1
11482,Adrienne,C,Torres,F,0
11483,Calvin,E,Chande,M,1
11484,Erick,L,Sai,M,1
11485,Donald,,Chandra,M,0
11486,Ariana,F,Rogers,F,1
11487,Morgan,C,Jones,F,0
11488,Jermaine,,Lopez,M,1
11489,Deborah,S,Goel,F,0
11490,Danny,,Rubio,M,0
11491,Andre,,Perez,M,0
11492,Terrence,C,Chander,M,0
11493,Dawn,T,Wu,F,1
11494,Jimmy,M,Gutierrez,M,1
11495,Francis,,Jimenez,M,1
11496,Gary,,Ortega,M,1
11497,Katrina,R,Nath,F,1
11498,Arturo,C,Sun,M,1
11499,Pedro,A,Vance,M,1
11500,Sarah,V,Simmons,F,1
11501,Brandy,P,Chandra,F,1
11502,Jared,,Peterson,M,1
11503,Dennis,G,Wu,M,1
11504,Jordan,P,Baker,F,1
11505,Jasmine,A,Powell,F,1
11506,Nicholas,S,Brown,M,0
11507,Isabella,A,Russell,F,1
11508,Elizabeth,R,Wilson,F,1
11509,Roger,,Harui,F,1
11510,Seth,H,Roberts,M,1
11511,Caleb,,Perry,M,1
11512,Natalie,L,Campbell,F,1
11513,Alyssa,A,Howard,F,0
11514,Dalton,,Diaz,M,1
11515,Shannon,H,Huang,F,1
11516,Mya,,Gonzales,F,1
11517,Katherine,A,Bryant,F,1
11518,Edward,,Washington,M,1
11519,Jerome,B,Navarro,M,1
11520,Jada,A,Morgan,F,1
11521,Ariana,,Peterson,F,1
11522,Christian,J,Hughes,M,1
11523,Lucas,V,Taylor,M,1
11524,Alyssa,L,Jackson,F,1
11525,Ariana,,Cook,F,1
11526,Katherine,P,Diaz,F,1
11527,Jenna,J,Green,F,1
11528,Joan,,Washington,F,1
11529,Austin,L,Bryant,M,1
11530,Andrew,C,Martinez,M,1
11531,Nina,R,Yuan,F,1
11532,Lauren,,Miller,F,1
11533,Ebony,E,Gill,F,1
11534,Cameron,M,Lewis,M,1
11535,Devin,,Nelson,M,1
11536,Logan,J,Chow,M,1
11537,Dakota,,Ross,M,1
11538,Nicole,B,Taylor,F,0
11539,Justin,,Washington,M,1
11540,Alberto,C,Navarro,M,1
11541,Aidan,D,Ross,M,0
11542,Alejandro,L,Tang,M,0
11543,Sheena,,Chande,F,1
11544,Joel,A,Garcia,M,1
11545,Reginald,,Dominguez,M,1
11546,Christine,,Chande,F,1
11547,Cindy,E,Sai,F,1
11548,Raymond,,Sanchez,M,1
11549,Crystal,J,Liang,F,1
11550,Deb,,Torres,F,1
11551,Shannon,,Alvarez,M,1
11552,Eddie,L,Rubio,M,0
11553,Sharon,D,Luo,F,1
11554,Sydney,,Simmons,F,1
11555,Alexandria,R,Henderson,F,1
11556,Lucas,J,Evans,M,1
11557,Felicia,,Ramos,F,0
11558,Ivan,E,Malhotra,M,0
11559,Frederick,M,Subram,M,0
11560,Whitney,,Srini,F,0
11561,Briana,,Dominguez,F,1
11562,Jarrod,,Gonzalez,M,1
11563,Cesar,,Srini,M,0
11564,Jorge,L,Liang,M,0
11565,Erik,S,Diaz,M,1
11566,April,L,Shan,F,1
11567,Carla,,Perez,F,1
11568,Alexia,,Foster,F,1
11569,Troy,,Malhotra,M,1
11570,Kristin,K,Andersen,F,1
11571,Joel,,Sai,M,1
11572,Billy,,Moreno,M,1
11573,Meagan,W,Subram,F,1
11574,Karla,V,Luo,F,1
11575,Jackson,,Campbell,M,1
11576,Micah,V,Zhu,M,1
11577,Janet,,Serrano,F,1
11578,Trisha,,Huang,F,1
11579,Clayton,,Beck,M,1
11580,Melvin,,Raje,M,1
11581,Cindy,,Jordan,F,1
11582,Claudia,E,Ma,F,1
11583,Karla,M,Xu,F,1
11584,Devin,J,Carter,M,1
11585,Kari,L,Perez,F,1
11586,Alberto,,Romero,M,1
11587,Kevin,,Bryant,M,1
11588,Candace,,Mehta,F,0
11589,Ebony,,Malhotra,F,1
11590,Erika,F,Diaz,F,1
11591,Stacey,W,Lu,F,1
11592,Darrell,T,Raji,M,0
11593,Armando,,Moreno,M,1
11594,Corey,,Goel,M,1
11595,Sebastian,,Howard,M,1
11596,Roger,E,Raje,M,1
11597,Janelle,C,Chandra,F,1
11598,Meredith,B,Ruiz,F,1
11599,Melody,,Diaz,F,0
11600,Linda,D,Rubio,F,0
11601,Ivan,S,Raman,M,1
11602,Larry,,Gill,M,0
11603,Geoffrey,,Gonzalez,M,0
11604,Edgar,,Sanchez,M,1
11605,Heidi,L,Subram,F,0
11606,Melody,,Ramos,F,0
11607,Clinton,H,Moreno,M,1
11608,Cesar,E,Madan,M,0
11609,Eugene,E,Ye,M,0
11610,Blake,,Collins,M,0
11611,Ernest,,Lin,M,0
11612,Keith,,Andersen,M,0
11613,Meredith,M,Prasad,F,0
11614,Katrina,M,Sharma,F,0
11615,Dwayne,H,Navarro,M,1
11616,Casey,,Nath,F,1
11617,Sean,,Brooks,M,0
11618,Brian,M,Ramirez,M,1
11619,Sierra,J,Young,F,1
11620,Megan,M,Rodriguez,F,1
11621,Leah,R,She,F,0
11622,Gabriel,,Allen,M,1
11623,Angela,,Perry,F,1
11624,Ryan,C,Smith,M,1
11625,Zachary,S,Moore,M,1
11626,Destiny,,Rogers,F,1
11627,Dalton,,Gray,M,1
11628,Mariah,M,Wood,F,1
11629,Isaiah,D,Wright,M,1
11630,Haley,,Powell,F,1
11631,Antonio,C,Bennett,M,1
11632,Alexandra,D,Jenkins,F,1
11633,Thomas,,Anderson,M,1
11634,Samuel,,Collins,M,1
11635,Darrell,,Chande,M,1
11636,Kimberly,K,Cox,F,1
11637,Morgan,,Hernandez,F,1
11638,Antonio,E,Powell,M,1
11639,Angelica,,Perry,F,1
11640,Chloe,A,Wilson,F,1
11641,James,D,Chen,M,1
11642,Morgan,T,Hughes,F,1
11643,Naomi,L,Munoz,F,1
11644,Charles,S,Torres,M,1
11645,Gabriella,M,Turner,F,1
11646,Anna,A,Foster,F,1
11647,Randy,J,Wu,M,0
11648,Kevin,R,Scott,M,1
11649,Ian,M,White,M,1
11650,Caleb,,Hayes,M,1
11651,Patricia,,Garcia,F,1
11652,Samuel,V,Russell,M,1
11653,Sydney,,Peterson,F,1
11654,Ariana,C,Sanchez,F,1
11655,Tamara,,Sharma,F,1
11656,Katelyn,K,Perez,F,1
11657,Megan,A,Cox,F,1
11658,Robert,,Mitchell,M,1
11659,Miguel,,Adams,M,1
11660,Miranda,,Gonzales,F,1
11661,Jeremiah,S,James,M,1
11662,Ethan,,Kumar,M,1
11663,Seth,A,Williams,M,1
11664,Alyssa,L,Morgan,F,1
11665,Janet,,Dominguez,F,1
11666,Angel,,Baker,M,1
11667,Blake,S,Moore,M,1
11668,Jada,C,Collins,F,1
11669,Isabella,,Simmons,F,1
11670,Jacqueline,,Perry,F,1
11671,Jessica,L,Brown,F,0
11672,Chad,C,Jai,M,1
11673,Susan,C,Ye,F,1
11674,Morgan,B,Rogers,F,1
11675,Devin,J,Martinez,M,1
11676,Alan,,Hu,M,1
11677,Charles,,Walker,M,1
11678,Johnny,A,Chavez,M,1
11679,Dalton,W,Richardson,M,1
11680,Kaylee,E,Nelson,F,1
11681,Abigail,E,Jones,F,1
11682,Kaitlyn,,Hall,F,0
11683,Greg,M,Taylor,M,1
11684,Devin,,Parker,M,0
11685,Jose,A,Griffin,M,0
11686,Luke,C,Edwards,M,0
11687,Cody,,Torres,M,0
11688,Victoria,A,Morris,F,1
11689,Ian,D,Diaz,M,1
11690,Caroline,,Butler,F,1
11691,Kaitlyn,,Wilson,F,0
11692,Caleb,A,Gonzales,M,0
11693,Hailey,W,Diaz,F,0
11694,Jonathon,L,Ortega,M,1
11695,Logan,,Campbell,M,1
11696,Mackenzie,T,Campbell,F,1
11697,Eduardo,,Lee,M,1
11698,Jackson,,Wright,M,1
11699,Chase,,Peterson,M,0
11700,Xavier,,Richardson,M,0
11701,David,,Hayes,M,1
11702,Jenny,S,Zhou,F,1
11703,Kaylee,,Baker,F,0
11704,Evan,G,Hernandez,M,0
11705,Brooke,,Richardson,F,1
11706,Blake,M,Perez,M,1
11707,Natalie,,Cook,F,1
11708,Elizabeth,,Weisman,F,1
11709,Hailey,,Collins,F,0
11710,Zoe,R,Ramirez,F,1
11711,Daniel,,Davis,M,0
11712,Shelby,,Rogers,F,1
11713,Kyle,C,Zhang,M,1
11714,Alexandria,E,Long,F,1
11715,Chloe,F,Robinson,F,1
11716,Evan,,Kelly,M,1
11717,Marcus,J,Jones,M,0
11718,Sarah,T,Jones,F,1
11719,Blake,P,Green,M,1
11720,Morgan,P,Morris,F,1
11721,Jennifer,A,Alexander,F,1
11722,Julian,S,Hughes,M,1
11723,Luke,A,Coleman,M,0
11724,Jason,,Carter,M,0
11725,Jose,K,Li,M,0
11726,Micah,R,Liang,M,0
11727,Benjamin,,Taylor,M,0
11728,Logan,H,White,M,1
11729,Caleb,,Campbell,M,1
11730,Emma,,Torres,F,1
11731,Tanya,H,Gill,F,1
11732,Erick,,Sanchez,M,1
11733,Kristi,J,Schmidt,F,1
11734,Omar,J,Chen,M,0
11735,Sydney,K,Gray,F,1
11736,Sebastian,,Sanchez,M,0
11737,Megan,A,Martin,F,1
11738,Elijah,,Alexander,M,1
11739,Aaron,L,King,M,1
11740,Jan,M,Hall,F,0
11741,Tamara,L,Chander,F,1
11742,Edward,,Lewis,M,0
11743,Chase,E,Kelly,M,1
11744,Stephanie,D,Campbell,F,1
11745,Allison,,Gonzalez,F,1
11746,Seth,,Brooks,M,1
11747,Destiny,,Davis,F,1
11748,Blake,,Hill,M,1
11749,Eduardo,C,Jackson,M,0
11750,Latoya,A,She,F,1
11751,Victoria,,Gonzales,F,1
11752,Lauren,,Bryant,F,1
11753,Felicia,J,Ortega,F,1
11754,Janet,L,Ortega,F,1
11755,Willie,J,Pal,M,1
11756,Linda,C,Ortega,F,0
11757,Vincent,L,Cai,M,1
11758,Colin,,Yuan,M,1
11759,Dawn,L,Nath,F,0
11760,Melody,R,Moreno,F,1
11761,Edgar,,Mehta,M,1
11762,Randall,R,Gomez,M,1
11763,Ross,R,Fernandez,M,1
11764,Jessie,R,Ramos,F,1
11765,Marc,,Torres,M,1
11766,Candace,M,Raman,F,0
11767,Meagan,,Madan,F,0
11768,Clayton,,Nara,M,1
11769,Haley,L,Hernandez,F,1
11770,Peter,T,Nara,M,0
11771,Isaac,D,Rivera,M,0
11772,Cameron,M,Moore,M,1
11773,Gavin,E,Diaz,M,1
11774,Emma,,Sanchez,F,1
11775,Sierra,,Roberts,F,1
11776,Seth,A,Mitchell,M,1
